Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,Rubber 5 Win %,avg_win_perc,Total Rubbers
Electrify Squash Div 13,60.0,100.0,100.0,100.0,100.0,92.0,24
Sha Tin 6,100.0,100.0,100.0,50.0,100.0,90.0,10
SocGen Squash,40.0,60.0,100.0,75.0,100.0,75.0,22
i-Mask Advance Squash Club 5,100.0,100.0,50.0,0.0,100.0,70.0,8
Fusion Squash Club 2,40.0,80.0,60.0,80.0,60.0,64.0,25
X-Alpha 5,50.0,33.33333333333333,66.66666666666666,66.66666666666666,100.0,63.33333333333333,15
HKIS Div 13,25.0,25.0,75.0,75.0,100.0,60.0,17
Energy Squash Club 2,0.0,75.0,100.0,75.0,50.0,60.0,18
Energy Squash Club 1,40.0,40.0,80.0,33.33333333333333,100.0,58.666666666666664,19
Kinetic 4,50.0,25.0,50.0,25.0,66.66666666666666,43.33333333333333,19
Yuen Long District Sports Association Limited,0.0,0.0,0.0,100.0,100.0,40.0,7
Happy Squash 4,0.0,0.0,0.0,0.0,0.0,0.0,8
